"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"08","013","0012","68109","1","40.021097","-105.263382","WGS84","Elapsed Sample Time","24 HOUR","2014-01-23","2014","23","Minutes","None",".","1","100.0000",".","1440",".","1440.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","81102","1","40.021097","-105.263382","WGS84","PM10 Total 0-10um STP","24 HOUR","2014-01-23","2014","23","Micrograms/cubic meter (25 C)","None",".","1","100.0000",".","16",".","16.00000","0","15.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","85101","1","40.021097","-105.263382","WGS84","PM10 - LC","24 HOUR","2014-01-23","2014","23","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","14",".","14.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","88101","1","40.021097","-105.263382","WGS84","PM2.5 - Local Conditions","24 HOUR","2014-01-23","2014","23","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","12",".","12.00000","0","50.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68101","1","40.021097","-105.263382","WGS84","Sample Flow Rate- CV","24 HOUR","2014-01-26","2014","26","Percent","None",".","1","100.0000",".","0.2",".","0.20000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68102","1","40.021097","-105.263382","WGS84","Sample Volume","24 HOUR","2014-01-26","2014","26","Cubic meter","None",".","1","100.0000",".","24",".","24.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68105","1","40.021097","-105.263382","WGS84","Ambient Temperature","24 HOUR","2014-01-26","2014","26","Degrees Centigrade","None",".","1","100.0000",".","6.2",".","6.20000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68108","1","40.021097","-105.263382","WGS84","Sample Baro Pressure","24 HOUR","2014-01-26","2014","26","Millimeters (mercury)","None",".","1","100.0000",".","625",".","625.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68109","1","40.021097","-105.263382","WGS84","Elapsed Sample Time","24 HOUR","2014-01-26","2014","26","Minutes","None",".","1","100.0000",".","1439",".","1439.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","88101","1","40.021097","-105.263382","WGS84","PM2.5 - Local Conditions","24 HOUR","2014-01-26","2014","26","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","1",".","1.00000","0","4.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","81102","1","40.021097","-105.263382","WGS84","PM10 Total 0-10um STP","24 HOUR","2014-01-29","2014","29","Micrograms/cubic meter (25 C)","None",".","1","100.0000",".","15",".","15.00000","0","14.00","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","85101","1","40.021097","-105.263382","WGS84","PM10 - LC","24 HOUR","2014-01-29","2014","29","Micrograms/cubic meter (LC)","None",".","1","100.0000",".","13",".","13.00000","0",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68101","1","40.021097","-105.263382","WGS84","Sample Flow Rate- CV","24 HOUR","2014-01-30","2014","30","Percent","None",".","1","100.0000",".","0.2",".","0.20000","14",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68102","1","40.021097","-105.263382","WGS84","Sample Volume","24 HOUR","2014-01-30","2014","30","Cubic meter","None",".","1","100.0000",".","9.7",".","9.70000","14",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68105","1","40.021097","-105.263382","WGS84","Ambient Temperature","24 HOUR","2014-01-30","2014","30","Degrees Centigrade","None",".","1","100.0000",".","1.7",".","1.70000","14",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
"08","013","0012","68108","1","40.021097","-105.263382","WGS84","Sample Baro Pressure","24 HOUR","2014-01-30","2014","30","Millimeters (mercury)","None",".","1","100.0000",".","620",".","620.00000","14",".","There are minimum daily summary criteria defined and they are met.","","Colorado","Boulder","Boulder","BOULDER CHAMBER OF COMMERCE","2440 PEARL ST.","Boulder-Longmont,CO","AQS via AQSDM"
